Date : 2022-08-02 17:06:04
Directory : c:\Users\zy\Desktop\pentium_smart_admin
Total : 115 files,  10516 codes, 551 comments, 555 blanks, all 11622 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\account\staff.vue                               | Vue                |        252 |         12 |          1 |        265 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\api.vue                               | Vue                |        189 |          6 |          2 |        197 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\article.vue                           | Vue                |        344 |          3 |          2 |        349 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\components\apis.vue                   | Vue                |         88 |          3 |          3 |         94 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\components\editoritem.vue             | Vue                |         82 |         25 |          5 |        112 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\components\menus.vue                  | Vue                |         72 |          3 |          4 |         79 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\config.vue                            | Vue                |        133 |          1 |          2 |        136 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\logs.vue                              | Vue                |         88 |          1 |          2 |         91 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\menu.vue                              | Vue                |        409 |         19 |          3 |        431 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\authority\role.vue                              | Vue                |        257 |         17 |          2 |        276 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\EcMachineTotal\index.vue   | Vue                |        154 |          0 |          6 |        160 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\EcMap\index.vue            | Vue                |        141 |          2 |          3 |        146 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\EcYearYield\index.vue      | Vue                |        143 |          0 |          6 |        149 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\EcYesterdayYield\index.vue | Vue                |        150 |          0 |          5 |        155 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\Weather\index.vue          | Vue                |        106 |          0 |          1 |        107 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\china.js                   | JavaScript         |         24 |         21 |          1 |         46 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\components\mixins\resize.js           | JavaScript         |         50 |          4 |          2 |         56 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\dashboard\index.vue                             | Vue                |        342 |          0 |          1 |        343 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\equipment\factoryList.vue                       | Vue                |        421 |          4 |          1 |        426 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\equipment\faultList.vue                         | Vue                |         99 |          0 |          2 |        101 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\equipment\index.vue                             | Vue                |        264 |          3 |          2 |        269 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\login\index.vue                                 | Vue                |        221 |          4 |         18 |        243 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\newData\equipment.vue                           | Vue                |        490 |         24 |          4 |        518 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\newData\production.vue                          | Vue                |        256 |          1 |          2 |        259 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\productionData\details.vue                      | Vue                |         79 |          0 |          1 |         80 |
